au	I
ʻoe	you (singular)
ʻoia, ia, ʻoia nei, ʻoia ala	he
kāua (dual, incl.), kākou (pl., incl.), māua (dual, excl.), mākou (pl., excl.)	we
ʻolua (dual), ʻoukou (pl.)	you (plural)
lāua (dual), lākou (pl.)	they
kēia, ia, ʻoia, nei, neia	this
kēnā, nā; kēlā, lā	that
maʻaneʻi, eia nei	here
laila, malaila, i laila	there
wai, ʻo wai, na wai	who
aha, he aha, pehea	what
aia i hea, ʻauhea, ai hea	where
ināhea	when
pehea	how
ʻaʻole	not
āpau, pauloa, pau, papau, like ʻole, puni, holoʻokoʻa, paunui	all
nui, lau	many
kākaʻikahi	some
kekāhi	other
kahi	one
lua	two
kolu	three
hā	four
lima	five
nui, nunui, hālala, māhuahua	big
loa	long
ākea, laulā	wide
mākolukolu	thick
kaumaha	heavy
iki, liʻi	small
pōkole	short
lāʻiki	narrow
lahi	thin
wahine	woman
kāne	man (adult male)
kanaka	man (human being)
keiki, kama	child
wahine	wife
kāne	husband
makuahine	mother
makuakāne	father
holoholona	animal
iʻa	fish
manu	bird
ʻīlio	dog
ʻuku	louse
naheka	snake
koʻe, ilo	worm
lāʻau, kumulāʻau	tree
ulu lāʻau	forest
lāʻau	stick
hua	fruit
ʻanoʻano, hua, hua kanu	seed
aʻa, mole, weli	root
ʻili, ʻili lāʻau	bark (of a tree)
pua	flower
kaula, kāwelewele	rope
ʻili, ʻaluʻalu	skin
koko	blood
iwi	bone
huelo	tail
pepeiao	ear
maka	eye
waha	mouth
niho	tooth
alelo	tongue (organ)
mikiʻao	fingernail
wāwae	foot
wāwae	leg
kuli	knee
lima	hand
ʻēheu	wing
ʻōpū, hakualo	belly
kua	back
ū, waiū	breast
inu, inumia, pā	to drink
ʻai, ʻai iho, amu, hoʻopiha	to eat
nahu, nanahu, ʻaki, ʻaʻaki, ʻakina	to bite
pahi, pā, papā, pā makani, ulu, unu	to blow
hanu, aho	to breathe
ʻoki, hōʻoki, moku, mō, mokumoku, momoku, mokuhia, kālai, kaha	to cut
hele wāwae, hele	to walk
hele mai, mai	to come
holoi	to wash
kāwele, holoi, hoʻokāwele	to wipe
huki	to pull
pahu	to push
helu, heluhelu, heluna	to count
lana, lanalana	to float
kahe	to flow
make anu, hoʻopaʻa i ka hau, makaʻeleʻele	to freeze
lā	sun
hōkū	star
wai	water
kahawai, muliwai	river
loko, loko wai, loko paʻakai, moana, moana wai, moana paʻakai	lake
kai, moana	sea
paʻakai	salt
pōhaku	stone
one	sand
ehu lepo, kuehu, ehu, ʻehu, uahi, lelehuna, lepo ʻaeʻae	dust
ao	cloud
lani, aouli, lewa	sky
makani	wind
hau, hau kea	snow
uahi	smoke
lehu, paʻu ahi	ash
ala, alanui, ala hele	road
ʻulaʻula, ʻula	red
ʻōmaʻomaʻo, maʻomaʻo	green
melemele, lena	yellow
keʻokeʻo, kʻeo, kea	white
ʻeleʻele, ʻele, pōʻele, pāʻele, ʻeneʻene	black
lā, ao	day
makahiki	year
mahana, pumehana	warm
anu, anuanu	cold
maikaʻiʻole, ʻino, kohole	bad
pilau, palahū, ʻinoʻino, palahō,	rotten
lepo	dirty
pololei	straight
poepoe, popohe, kūpoepoe	round
ʻoi, ʻāwini	sharp (as a knife)
kūmūmū, mūmū, ʻoi ʻole	dull (as a knife)
malino	smooth
pulu, pulu pē, maʻū, ʻelo, paʻū	wet
maloʻo	dry
pololei, pono	correct
ʻākau	right
