kuahiwi	mountain, high hill
kahawai	river
ʻāina	land
māla	dry land garden
kai hohonu	deep ocean
ahupuaʻa	land division usually extending from the uplands to the sea
kai	sea
kahakai	beach
wailele	waterfall
one	sand
makani	wind
lā	sun
mahina	moon
hōkū	star
pōhaku	rock
puʻu	hill
mauʻu	grass
meaʻai	food
palaoa	bread
paʻakai	salt
pepa	pepper
maiʻa	banana
niu	coconut
manakō	mango
kuawa	guava
ʻulu	breadfruit
kalo	taro (colocasia esculenta)
poi	pounded kalo
nīoi	red pepper
lilikoʻi	passion fruit
ʻalani	orange
ʻāpala	apple
mīkana	papaya
pahi	knife
ʻō	fork
puna	spoon
pā	plate
pola	bowl
ʻapu	cup
lāʻau ʻai	chopsticks
kinika	sink
kini ʻōpala	trash bin
ipu hao	pot
pā palai	pan
kapuahi	oven
pahu hau	refrigerator
pōhaku kuʻi ʻai	poi pounder
papa kuʻi ʻai	poi board
moena	bed
pākaukau	table
noho	chair
pūlumi	broom
palaki lauoho	hair brush
puke	book
lumi hoʻopaupilikia	bathroom sink
lole	clothes
pāpale	hat
kāmaʻa	shoes
kelepona	telephone
palaki niho	toothbrush
lua	toilet
kāwela	towel
penikala	pencil
peni	pen
papa heʻe nalu	surfboard
makau	fishhook
mākoi	fishingrod
ʻupena	net
waʻa	canoe
moku	boat
kaʻa	car
mokulele	airplane
kalaka	truck
