able to, can	hiki
adornment	wehi, kāhiko
afraid	makaʻu
airplane	mokulele
animal	holoholona
answer	pane
appropriate	kūpono
archipelago	paeʻāina
awake, to awaken	ala
awkward	hemahema
baby	pēpē
back	kua
bad	ʻino
bad-smelling	hohono
banana	maiʻa
beach	kahakai
beautiful	uʻi, nani
bed	moe
bedroom	lumimoe
Bible	Paipala
big	nui
bird	manu
birth, to give birth	hānau
birthday	lā hānau
black	ʻeleʻele
blanket	kapa
boat (steamship)	mokuahi
book	puke
boy	keikikāne
breakfast	ʻaina kakahiaka
bring	lawe mai
build	kūkulu
building	hale
bury	kanu
buy	kūʻai mai
calico	kalakoa
calm	mālie
canoe	waʻa
canoe shed	hālau
capital	kapikala
captain	kāpena
car	kaʻa
cat	pōpoki
cave	ana
chair	noho
child	keiki
church	halepule
class	papa
clean (adj.)	maʻemaʻe
to clean	hoʻomaʻemaʻe
cliff	pali
climb, rise up	piʻi
clock	uaki
close (distance)	kokoke
close (relationship)	pili
coffee	kope
color	waihoʻoluʻu
comb	kahi
come	hele mai
come back	hoʻi mai
comfortable	ʻoluʻolu
command	kauoha
commoner	makaʻāinana
computer	lolouila
converse	kamaʻilio
correct	pololei
count	helu
courageous	koa
create	hoʻokumu
creation of world	hoʻokumu honua
cry	uē
dance	hula
darkness	pō
daughter	kaikamahine
day, sun	lā
daylight, daytime	ao
dead	make
delicious	ʻono
demonstrate, demonstration	hōʻike
desire	ʻiʻini, makemake
desk	pākaukau
die	hala
difficult	paʻakikī
dinner	ʻaina ahiahi
dirty	lepo
distinguished	hanohano
doctor	kauka
dog	ʻīlio
dolphin	naiʻa
draw, drawing	kiʻi
to drink	inu
drink	mea inu
drown	piholo
ear	pepeiao
earth	honua
easy	maʻalahi
embarrassed	hilahila
English language	ʻōlelo Haole
enough	lawa
enter	komo
era, time period	wā
expensive	pipiʻi
eye	maka
family	ʻohana
famous	kaulana
far	mamao
farmer	mahiʻai
fast	ʻāwīwī, wikiwiki
fat	momona
father	makuakāne
feed	hānai
fence	pā
field	kahua
finished	pau
firefighter	kinai ahi
fish	iʻa
fisherman	lawaiʻa
