Mele Kalikimaka	Merry Christmas
Hau'oli Makahiki Hou	Happy New Year
Hau'oli La Hanau	Happy Birthday
A Hui Hou	So long, until we meet again
Da Kine	(Pidgin) this/that thing
Hana Hou	Do it again, as in an encore
Ahana Koko Lele	Shame on you! You are going to catch it! (Many variations)
'A'ole Pilikia	You're welcome (Lit., no problem)
'ae	yes
ahupua'a	land division
'aina	land, especially Hawaiian ancestral lands
akua	God
ala	road, way, path
ali'i	Hawaiian royalty
'a'ole	no
'aumakua	ancestral spirit
halau	school, such as halau hula (hula group)
hale	house building
haole	foreigner, especially now Caucasian
hana	work
hapa haole	person of mixed racial ancestry
hapai	carry, pregnant
hehena	raving mad, possessed, lunatic
heiau	ancient religious site, temple
hele	move, go, travel
ho'aloha	friend
ho'ike	show, display
hoku	star
holoholo	out on a lark, fishing
honu	turtle
huhu	angry, offended
hula 'auana	modern hula dance
hula kahiko	ancient hula dance
i'a	fish
kahu	leader, minister
kahuna	expert in any profession, priest, sorcerer, magician
kala	money
kai	salt water, sea
kalo	taro
kama'aina	island native, long term resident
kanaka maoli	Hawaiian people
kane	man, male
kanikapila	musical jam session
kapu	taboo, no trespassing
keiki	child
kokua	help, assistance
kolohe	naughty, mischievous, rascal
kulikuli	Be quiet! Shut up!
kumu	teacher
kupuna	grandparent
la	sun
lani	sky, the heavens
lau	leaf
lo'i	taro patch
lolo	feeble minded, numb
maika'i	good
mahalo	thank you
maha'oi	insolent, rude, brazen
mahina	moon
maka	eye
makai	toward the ocean
make	to die, dead
makua	parent
malihini	new comer, visitor
mana'o	thought
manapua	generic term for Chinese dim sum
manini	stingy
mano	shark
manu	bird
manuahi	free, gratis
mauka	toward the mountains
mea 'ai	food to eat
mele	chant or melodic song for hula dancing
moana	ocean
moku	island
mo'o	lizard
nani	pretty
niele	nosey, frivolously inquisitive
niu	coconut
nui	big, large
'ohana	family (esp. extended)
oli	chant (not for hula dancing)
ono	delicious
'opala	garbage, trash
'opu	stomach, abdomen
palahe	flattened, crushed
pali	cliff
paniolo	cowboy
pilau	stinky, smelly
pilikia	troubles
pohaku	stone, rock
pu	shell
pua'a	pig
puke	book
pule	prayer
pupule	crazy
tutu, tutu kane	grandmother, grandfather
u'i	handsome, pretty, beautiful, youthful
'uku	louse, flea ("uku head" — a dumb, small brained person)
wa'a	canoe
wahine	woman, female
wai	fresh water
wikiwiki	fast, quick, speedy
